OD,CH,Diff
1,344.663,777
778,344,1042
1820,343,982
2802,342,1118
3920,341,990
4910,340,1011
5921,339,1066
6987,338,1028
8015,337,1302
9317,336,791
10108,335,1042
11150,334,1161
12311,333,908
13219,332,1023
14242,331,998
15240,330,904
16144,329,1249
17393,328,1153
18546,327,1053
19599,326,847
20446,325,1164
21610,324,1071
22681,323,560
23241,322,1513
24754,321,960
25714,320,868
26582,319,1135
27717,318,1111
28828,317,1026
29854,316,994
30848,315,1069
31917,314,1029
32946,313,965
33911,312,125
34036,311.9,-34036
